company_name;website;sector;country;revenue_euros;employees;founded
Tropic Skincare;https://tropicskincare.com;Beauty;United Kingdom;15M;80;2011
Enra Group;https://enragroup.co.uk;Financial Services;United Kingdom;47M;79;2002
HISERT;https://hisert.de;Retail;Germany;17M;5;2011
Bulk Powders;https://bulkpowders.co.uk;Ecommerce;United Kingdom;28M;95;2006
Innovasoft;https://innovasoftspa.it;Technology;Italy;1M;22;2011
Rivers Finance Group;https://riversleasing.com;Financial Services;United Kingdom;2M;8;2002
Podium Engineering;https://podiumengineering.com;Support Services;Italy;1M;11;2011
Inovefa;https://inovefa.com;Property;France;2M;30;2012
Air Cargo Professionals (ACP);https://acpdus.com;Transport;Germany;7M;8;2011
getBEST Personalservice*;https://getbest.at;Support Services;Austria;3M;100;2013
CharliDiscount.com;https://charlidiscount.com;Retail;France;1M;1;2009
Sofidys;https://sofidys.com;Technology;France;16M;2;2008
Tecnip*;https://tecnip.com;Industrial Goods;Italy;11M;27;2013
Alternatyva;https://alternatyva.it;Telecoms;Italy;4M;20;2006
Ghilardi Selezioni;https://ghilardiselezioni.com;Food & Beverage;Italy;1M;4;2011
Ellipse Dentale*;https://ellipsedentale.fr;Health;France;1M;7;2013
Dreischtrom;https://dreischtrom.de;Energy;Germany;4M;7;2010
Bulpros Consulting;https://bulpros.com;Technology;Bulgaria;16M;1083;2010
IQ Finance;https://iqfinance.co.uk;Financial Services;United Kingdom;3M;2;2002
GBV Taucha mbH;https://wota-online.de;Property;Germany;2M;2;1991
Buyingpeers;https://buyingpeers.com;Management Consulting;France;7M;75;2012
Net World Sports;https://networldsports.co.uk;Retail;United Kingdom;15M;62;2009
CaamaÃ±o, Concheiro & Seoan;https://ccsabogados.com;Law;Spain;4M;68;2002
Seven Stars Marina & Shipyard;https://7starsms.eu;Travel & Leisure;Italy;7M;17;2012
Mifarma;https://mifarma.es;Pharmaceuticals;Spain;14M;33;2011
whatchado;https://whatchado.com;Support Services;Austria;2M;48;2011
KKRUT Sociala Tjänster;https://familjehemmenkrut.se;Health;Sweden;6M;95;2010
Lioncourt Homes;https://lioncourthomes.com;Property;United Kingdom;66M;71;2006
Pequeños y Medianos Astilleros;https://pymar.com;Construction;Spain;5M;21;1985
die kreArtisten;https://diekreartisten.com;Support Services;Germany;2M;26;2012
Avocadostore;https://avocadostore.de;Ecommerce;Germany;9M;16;2010
ZANATTA media group;https://zanatta.de;Advertising;Germany;1M;4;2010
Infinity Reliance;https://my1styears.com;Retail;United Kingdom;7M;63;2009
Reputation VIP;https://reputationvip.com;Support Services;France;1M;22;2012
Nature Dog;https://naturedog.fr;Retail;France;2M;8;2010
McGinley Human Resources;https://mcginleygroup.co.uk;Support Services;United Kingdom;140M;75;2010
Utopia Lab;https://utopialab.it;Support Services;Italy;1M;9;2008
Ratesetter;https://ratesetter.com;Fintech;United Kingdom;28M;222;2010
Lithoz;https://lithoz.com;Technology;Austria;2M;30;2011
Bernina France;https://bernina-france.fr;Personal & Household Goods;France;2M;n/a;1991
Balyo;https://balyo.com;Technology;France;5M;72;2005
Humanus Personalservice*;https://humanus-personalservice.de;Support Services;Germany;5M;140;2013
The Office Group;https://theofficegroup.co.uk;Property;United Kingdom;85M;202;2003
Sweet Punk;https://sweetpunk.com;Media;France;2M;19;2012
L'Exception;https://lexception.com;Retail;France;3M;21;2011
Dag1;https://dag1.nl;Support Services;The Netherlands;3M;17;2012
EXPERT-Security;https://expert-security.de;Ecommerce;Germany;10M;30;2007
Sos Tariffe;https://sostariffe.it;Financial Services;Italy;5M;14;2010
Bygglet;https://bygglet.com;Technology;Sweden;2M;18;2010
Paymentsense;https://paymentsense.co.uk;Fintech;United Kingdom;73M;203;2008
12Build;https://12build.com;Construction;The Netherlands;2M;27;2007
Al Kamel Systems;https://alkamelsystems.com;Technology;Spain;5M;13;2006
Logisseo;https://logisseo.com;Transport;France;1M;16;2011
Luca Tic;https://luca-tic.com;Technology;Spain;5M;180;2010
Aiuken solutions;https://aiuken.com;Cyber Security;Spain;3M;25;2012
Rafa Grau Transports;https://rafagrautransport.com;Transport;Spain;6M;39;2005
Tu SÃºper Purchase;https://supermercadostusuper.com;Retail;Spain;4M;49;2006
Tokiota;https://tokiota.com;Technology;Spain;4M;64;2012
MetalVenice;https://metalvenice.it;Automobiles;Italy;2M;57;1999
Theodo;https://theodo.fr;Support Services;France;13M;99;2007
Stillfront Group;https://stillfront.com;Games industry;Sweden;10M;96;2010
Inside Ideas Group;https://oliver.agency;Advertising;United Kingdom;91M;438;2003
Bannerflow;https://bannerflow.com;Advertising;Sweden;4M;42;2010
Satis TT;https://satistt.fr;Support Services;France;8M;323;2012
Ilumax Led Solutions;https://ilumax.es;Retail;Spain;2M;16;2011
gastronovi;https://gastronovi.de;Restaurants;Germany;1M;30;2011
A & L Logistics & Trade;https://al-logistics.eu;Transport;Germany;3M;33;2012
Bagjump Action Sports;https://bagjump.com;Technology;Austria;5M;9;2009
Kasadenn;https://kasadenn.fr;Transport;France;2M;37;2011
Wool Warehouse Direct;https://woolwarehouse.co.uk;Ecommerce;United Kingdom;8M;41;2012
Aalgaard Bygg;https://aalgaardbygg.no;Property;Norway;6M;12;2011
Techpump;https://techpump.com;Technology;Spain;11M;29;2012
Northvale Construction;https://northvaleconstruction.co.uk;Construction;United Kingdom;15M;30;2008
Civitatis Tours;https://civitatis.com;Travel & Leisure;Spain;17M;24;2011
ZukunftsEnergie Fichtelgebirge;https://zef-buergerbeteiligung.de;Energy;Germany;2M;1;2011
Opus Professional Services Group;https://opuspsg.com;Support Services;United Kingdom;76M;139;2008
Winergia;https://winergia.com;Energy;France;2M;27;2012
ApisSys;https://apissys.com;Technology;France;4M;12;2009
Freaks 4U Gaming;https://freaks4u.de;Advertising;Germany;7M;90;2011
Cristaux & Couleurs;https://cristaux-couleurs.com;Retail;France;3M;30;2010
Netguru;https://netguru.co;Technology;Poland;6M;206;2008
Amiltone;https://amiltone.com;Support Services;France;7M;135;2012
Devisubox;https://devisubox.com;Technology;France;3M;38;2006
Weezevent;https://weezevent.com;Travel & Leisure;France;88M;37;2008
Vibor-A Padel;https://viborapadel.com;Retail;Spain;1M;8;2011
Fevertree Drinks;https://fever-tree.com;Food & Beverage;United Kingdom;125M;48;2005
RENEWA;https://renewa.de;Energy;Germany;7M;19;2010
BTL Logistik;https://btl-logistikgmbh.de;Transport;Germany;4M;100;2012
VR Telecom;https://vrtelecom.es;Telecoms;Spain;94M;12;2010
Smart Battery Solutions;https://smart-battery-solutions.de;Batteries;Germany;3M;29;2010
Hadrian Technology;https://hadriantechnology.co.uk;Cyber Security;United Kingdom;6M;11;1999
Volontè & Co;https://volonte-co.com;Media;Italy;3M;11;2008
Staircraft Integrated Solutions;https://staircraft-ltd.co.uk;Construction;United Kingdom;32M;196;1995
doIT solutions;https://doit-solutions.de;Technology;Germany;3M;15;2010
10Clouds;https://10clouds.com;Technology;Poland;3M;87;2011
Sibaltron Experiences;https://etuyo.com;Ecommerce;Spain;7M;8;2009
Yélé Consulting;https://yele.fr;Energy;France;4M;40;2010
Trent Construction Services;https://trentcs.com;Construction;United Kingdom;6M;18;2012
Eleven Labs;https://eleven-labs.com;Support Services;France;5M;62;2011
Ulabox;https://ulabox.com;Ecommerce;Spain;7M;53;2010
Richter lighting technologies;https://richter-lt.de;Technology;Germany;23M;150;1994
Tremend;https://tremend.com;Technology;Romania;3M;86;2005
Nanobit;https://nanobit.co;Games industry;Croatia;7M;67;2008
IT Resellers Group;https://itresellers.be;Sales & Marketing;Belgium;6M;4;2008
Horizon Group;https://horizongroup.it;Sales & Marketing;Italy;1M;13;2008
Digital Legends Entertainment;https://digital-legends.com;Games industry;Spain;8M;61;2001
SociaNOVA;https://socianova.com;Technology;France;1M;19;2012
Con-Tex;https://con-tex-gmbh.eu;Transport;Germany;2M;8;2012
Expo Speed*;https://expospeed.de;Transport;Germany;2M;5;2013
Voxpro**;https://voxprogroup.com;Support Services;Ireland;60M;1699;2004
Oxford Summer Courses;https://oxfordsummercourses.com;Education;United Kingdom;2M;4;2012
Finepower;https://finepower.com;Energy;Germany;21M;44;2001
Blickfang Media;https://blickfangmedia.de;Advertising;Germany;2M;17;2012
Satenco;https://satenco.com;Retail;France;2M;2;2011
Lithos Industrial Minerals;https://lithos-minerals.at;Industrial Goods;Austria;3M;12;2005
Maximum Media;https://maximummedia.ie;Media;Ireland;6M;70;2010
Techbau;https://techbau.it;Construction;Italy;139M;54;2010
Lugar Da Veiga;https://daveiga.es;Food & Beverage;Spain;2M;25;2005
Bodeboca;https://bodeboca.com;Ecommerce;Spain;5M;23;2010
FRES architectes;https://fres.fr;Construction;France;2M;20;2004
Trippus;https://trippus.com;Technology;Sweden;7M;20;2000
BT3 AIH;https://bt3.at;Construction;Austria;10M;22;2012
Infinum d.o.o.;https://infinum.co;Technology;Croatia;2M;78;2005
FashCom;https://fashcom.nl;Ecommerce;The Netherlands;3M;24;2011
IBOTECH;https://ibotech.eu;Transport;Germany;12M;59;2007
batterium;https://autobatterienbilliger.de;Retail;Germany;10M;27;2011
La Balcheta Reciclaje;https://labalcheta.com;Waste management & recycling;Spain;4M;18;2012
Logando Display & Media Solutions;https://logando.de;Support Services;Germany;5M;40;2008
Bebeboutik;https://bebeboutik.com;Retail;France;8M;30;2012
Be-Cloud;https://be-cloud.fr;Technology;France;1M;25;2012
Inrete;https://in-rete.net;Support Services;Italy;2M;13;2010
white label eCommerce;http://the-white-label.com/en/home-en/;Ecommerce;Germany;2M;32;2012
Gizmo Retail;https://gizmo-retail.nl;Personal & Household Goods;The Netherlands;2M;4;2008
Cross Cargo Logistics;https://cross-cargo.eu;Transport;Austria;8M;12;2002
Ashworth and Parker;https://endclothing.com;Ecommerce;United Kingdom;82M;274;2009
Esprit Digital;https://espritdigital.com;Technology;United Kingdom;9M;11;2002
Contis Group;https://contis.com;Fintech;United Kingdom;8M;86;2008
Yellow Star Solutions;https://yellowstar.com;Technology;The Netherlands;4M;58;2009
Bakken & Baeck;https://bakkenbaeck.com;Technology;Norway;3M;40;2011
Bibars;https://bibars.fr;Food & Beverage;France;13M;7;2008
Giggling Restaurants;https://https:/www.gigglingsquid.com/;Restaurants;United Kingdom;21M;294;2002
Piazza Copernico;https://piazzacopernico.it;Education;Italy;1M;11;2006
Adtraction Marketing;https://adtraction.com;Advertising;Sweden;20M;12;2007
Super Heraut;https://super-heraut.fr;Media;France;1M;1;2012
CMORE Automotive;https://cmore-automotive.de;Automobiles;Germany;9M;130;2011
Selectra;https://selectra.info;Retail;France;9M;400;2007
Arkphire;https://arkphire.com;Technology;Ireland;52M;48;2011
Geniem;https://geniem.fi;Technology;Finland;2M;35;2000
Blue Consult;https://blue-consult.de;Technology;Germany;27M;56;2004
Prepaid Financial Services;https://prepaidfinancialservices.com;Financial Services;United Kingdom;51M;42;2007
Global Support Services (GSS);https://global-support.org;Support Services;United Kingdom;4M;110;2010
Azzure IT;https://azzure-it.com;Technology;United Kingdom;4M;47;2011
Tecodata;https://tecodata.fr;Support Services;France;2M;n/a;2003
Coconut Business;https://tropicai.com;Food & Beverage;Germany;7M;28;1994
CEOS Obras y Servicios;https://grupoceos.com;Construction;Spain;5M;47;2007
Emedec;https://emedec.com;Industrial Goods;Spain;9M;30;1998
Javista;https://javista.com;Support Services;France;4M;36;2005
Le Monde Après Openwork;https://lemonde-apres.com;Support Services;France;12M;107;2010
Croud Inc;https://croud.com;Sales & Marketing;United Kingdom;9M;83;2011
Frost Canarias;https://rincondelpan.es;Food & Beverage;Spain;3M;74;2012
Pay Job Interim;https://payjob.fr;Support Services;France;2M;8;2007
James and James Fulfilment;https://ecommercefulfilment.com;Ecommerce;United Kingdom;6M;60;2010
Synesthesia;https://synesthesia.it;Technology;Italy;2M;23;2011
Predica Sp. z o.o.;https://predica.pl;Support Services;Poland;3M;50;2009
Santafixie Group;https://santafixie-group.com;Ecommerce;Spain;2M;13;2011
Blinklearning;https://blinklearning.com;Education;Spain;2M;58;2010
Welland Power;https://wellandpower.net;Energy;United Kingdom;23M;24;2010
EgeSun;https://morgenland.bio;Food & Beverage;Germany;40M;74;2000
Europäische Schule RheinMain;https://es-rm.eu;Education;Germany;12M;139;2011
Ampacimon;https://ampacimon.com;Industrial Goods;Belgium;2M;12;2010
Spotify;https://spotify.com;Media;Sweden;2933M;2162;2006
Oro arte;https://oroarte.it;Precious metals;Italy;17M;5;2011
Ethic Technology;https://http:/www.ethic-technology.com/ethic/;Technology;France;1M;4;2012
MentorMaterassi;https://mentormaterassi.it;Ecommerce;Italy;3M;5;2009
Nacatur 2;https://nacatur2.com;Retail;Spain;5M;10;2008
Decoración Vintage;https://decoracionvintage.es;Retail;Spain;2M;16;2002
HUMANAS;https://humanas.de;Energy;Germany;8M;163;2006
Kerlink;https://kerlink.com;Telecoms;France;14M;78;2004
Just Eat;https://justeatplc.com;Technology;United Kingdom;459M;2373;2009
Miquido Sp. z o.o. Sp.k.;https://miquido.com;Technology;Poland;2M;72;2011
Featurespace;https://featurespace.com;Fintech;United Kingdom;1M;62;2005
Ventura Global;https://venturaglobal.com;Financial Services;Italy;5M;3;2011
The Media Image;https://the-media-image.com;Advertising;United Kingdom;22M;28;2009
Castor & Pollux;https://castoretpollux.com;Media;France;3M;35;2010
Mobile Baustrassen Ruiter;https://ruiter-baustrassen.de;Construction;Germany;4M;5;2012
Kronos Group SPRL;https://kronosgroup.be;Management Consulting;Belgium;5M;40;2011
Paseo Marketing;https://paseo-marketing.de;Advertising;Germany;6M;10;2005
Kesmer;https://kesmer.at;Construction;Austria;2M;44;2011
Workstreampeople (Anywhere365);https://workstreampeople.com;Technology;The Netherlands;7M;32;2012
Midstream Energy*;https://midstreamlighting.com;Industrial Goods;United Kingdom;1M;4;2009
Cubro Acronet;https://cubro.net;Telecoms;Austria;4M;14;2003
new Sales;https://newsales24.de;Energy;Germany;5M;37;2010
Heol Commercialisation;https://heol-com.fr;Industrial Goods;France;3M;5;2008
Sipwise;https://sipwise.com;Telecoms;Austria;4M;35;2008
Gigas;https://gigas.com;Technology;Spain;4M;69;2011
Energineo;https://energineo-led.com;Technology;France;2M;15;2009
PoTec Vertriebs;https://autoteile-werkzeuge.de;Ecommerce;Germany;4M;19;2009
Beck Bau Schlüsselfertig;https://beck-schluesselfertig.de;Construction;Germany;8M;9;2012
LEOshoes;https://leoshoes.it;Fashion;Italy;59M;301;2010
Showcase Interiors;https://showcase-interiors.co.uk;Sales & Marketing;United kingdom;28M;44;2007
Falcon Green Personnel;https://falcongreen.co.uk;Support Services;United Kingdom;27M;21;2012
Regulatory Finance Solutions;https://rfs.co.uk;Management Consulting;United Kingdom;54M;52;2005
Managed 24/7;https://managed.co.uk;Technology;United Kingdom;8M;48;2009
Relojitos Euromediterranea;https://relojitos.com;Ecommerce;Spain;4M;5;2012
Uptoo;https://uptoo.fr;Support Services;France;9M;65;2005
AdhexPharma;https://adhexpharma.com;Pharmaceuticals;France;9M;44;2007
K3 Capital Group;https://k3capitalgroupplc.com;Financial Services;United Kingdom;12M;73;2007
Taunus Hausbau;https://taunus-hausbau.de;Construction;Germany;5M;9;2011
S.I.T.I.M.;https://sitimsrl.com;Industrial Goods;Italy;5M;25;2008
Oxeltis;https://oxeltis.com;Chemicals;France;1M;15;2010
Slagkryssaren Aktiebolag;https://slagkryssaren.com;Support Services;Sweden;3M;23;2011
eMerus (HR2day);https://hr2day.com;Technology;The Netherlands;2M;25;2010
Tresmes Eco Activa;https://tresmes.com;Education;Spain;2M;209;2010
laNatur;https://lanatur.de;Food & Beverage;Germany;3M;4;1994
X4 Group;https://x4group.co.uk;Support Services;United Kingdom;23M;71;2008
Biogroupe;https://biogroupe.com;Agricultural commodities;France;3M;26;2010
Adservio;https://adservio.fr;Support Services;France;5M;98;2010
Pronto Service;https://prontoservice.de;Food & Beverage;Germany;12M;4;2011
Loro Fruit Lonigro Group;https://n/a;Agricultural commodities;Italy;2M;110;2011
AXSOL;https://axsol.fr;Retail;France;1M;8;2010
M2.;https://m2dot.com;Technology;Germany;2M;12;2009
VisiConsult;https://visiconsult.com;Industrial Goods;Germany;12M;53;1996
G5 Entertainment;https://g5e.com;Games industry;Sweden;54M;299;2001
Nexteria;https://nexteria.it;Support Services;Italy;6M;193;2011
Device Insight;https://device-insight.com;Technology;Germany;7M;50;2003
PicturePeople;https://picturepeople.de;Advertising;Germany;10M;300;2010
labo.art;https://laboart.com;Fashion;Italy;1M;6;2009
Uwe Nickut;https://uwe-nickut.de;Support Services;Germany;4M;75;2012
Third Bridge Group;https://thirdbridge.com;Financial Services;United Kingdom;60M;449;2007
Sternzeit Media;https://sternzeit.de;Advertising;Germany;3M;10;2009
Componosollertia;https://aitenet.com;Industrial Goods;Spain;3M;14;1997
FME Frachtmanagement Europa;https://fmeuropa.de;Transport;Germany;12M;30;2009
alphanet;https://alpha-net.at;Technology;Austria;3M;8;2012
CO.NET;https://conet24.com;Support Services;Germany;2M;19;2001
Diamond Logistics;https://diamondlogistics.co.uk;Transport;United Kingdom;9M;13;1992
Considerati;https://considerati.com;Management Consulting;The Netherlands;2M;11;2007
GS Star;https://gsstar-hotels.de;Travel & Leisure;Germany;9M;68;2011
App Dynamic;https://airserver.com;Technology;Iceland;1M;7;2012
Vey Versorgungstechnik;https://vey.koeln;Construction;Germany;6M;60;1955
Send For Help;https://sendforhelp.com;Support Services;United Kingdom;9M;70;2010
AlphaSights;https://alphasights.com;Support Services;United Kingdom;81M;343;2008
Park One;https://park-one.com;Transport;Germany;6M;48;2005
Rcube;https://rcube-lyon.com;Construction;France;1M;9;2008
Josef HÃ¶ller;https://hoeller-grosskuechen.com;Restaurants;Austria;3M;16;1998
Redegal;https://redegal.com;Ecommerce;Spain;2M;56;2004
X7-telecom;https://x7-telecom.de;Telecoms;Germany;23M;26;2011
KFK Konrad;https://pruefservice-kfk.de;Support Services;Germany;5M;61;1993
Obiz concept;https://obiz.fr;Sales & Marketing;France;1M;27;2010
Gruppo Elci;https://elci.it;Construction;Italy;9M;68;1977
Affinity S.A.;https://affinity.pt;Support Services;Portugal;4M;143;2012
Tablet Technologies;https://tablettechnologies.com;Technology;United Kingdom;2M;10;2008
QuiÃ±onero Servicios LogÃ­sticos;https://transportesquinonero.com;Transport;Spain;3M;11;2002
The Hyve;https://thehyve.nl;Technology;The Netherlands;3M;40;2012
CARMAO;https://carmao.de;Management Consulting;Germany;2M;15;2003
MEC2;https://livecookintable.de;Interiors;Germany;4M;5;2003
Nordic Panel;https://plattenzuschnitt24.de;Retail;Germany;4M;24;2011
Blackrock Expert Services;https://blackrockexpertservices.com;Construction;United Kingdom;32M;75;2009
SNK System;https://snksystem.com;Technology;Spain;4M;9;1997
GOGY;https://sarl-gogy.fr;Construction;France;1M;13;2004
Paramount Haulage;https://paramounthaulage.com;Transport;United Kingdom;1M;13;2007
Saxowert Immobilien;https://saxowert.de;Property;Germany;4M;5;2007
ARSATEC;https://arsatec.de;Property;Germany;26M;22;1996
Prima Retail (bigtex);https://bigtex.de;Retail;Germany;4M;30;2003
Waldbach Fulfillment Logistik;https://waldbach-logistik.de;Transport;Germany;6M;140;2012
BERICON;https://bericon.de;Telecoms;Germany;2M;10;2011
Niese Caravan;https://niese-caravan.de;Automobiles;Germany;5M;10;2003
Joe & Seph's;https://Joeandsephs.com;Food & Beverage;United Kingdom;4M;60;2010
Onsella Global Services;https://onsella.com;Transport;Spain;11M;22;2005
Accesa IT Consulting;https://accesa.eu;Technology;Romania;3M;115;2004
Solar Supply Sweden;https://solarsupply.se;Energy;Sweden;5M;7;2011
Manain Elevació;https://manainelevacio.com;Industrial Goods;Spain;5M;19;2006
Padel Nuestro;https://padelnuestro.com;Retail;Spain;6M;13;2010
Argentus;https://argentus-re.de;Energy;Germany;3M;14;2011
RES REI;https://resrei.com;Fashion;Italy;1M;4;2011
Spideo;https://spideo.tv;Technology;France;1M;20;2010
NewVoiceMedia;https://newvoicemedia.com;Technology;United Kingdom;38M;341;2000
shopware;https://shopware.de;Ecommerce;Germany;11M;110;2000
TeamTO;https://teamto.com;Travel & Leisure;France;18M;248;2005
Manolete Partners;https://manolete-partners.com;Financial Services;United Kingdom;5M;7;2011
Optomed Oy;https://optomed.com;Technology;Finland;6M;73;2004
Vulog;https://vulog.com;Technology;France;3M;46;2006
Cap Adresse;https://capadresse.com;Support Services;France;2M;18;2007
Calconut;https://calconut.com;Food & Beverage;Spain;108M;24;2005
HGA Vertriebs GmbH;https://hga-cosmetics.com;Beauty;Germany;9M;19;2004
KMLS Gruppe;https://kmls.de;Energy;Germany;19M;68;2009
KALPA;https://kalpa.it;Technology;Italy;2M;42;2012
belmoto;https://belmoto.de;Automobiles;Germany;5M;16;2009
BeRepublic Networks;https://berepublic.com;Management Consulting;Spain;5M;64;2006
MAK*;https://m-a-k.at;Industrial Goods;Austria;1M;25;2013
Clinipartners;https://clinipartners.eu;Transport;Spain;2M;41;2008
Melvin & Hamilton;https://melvin-hamilton.de;Ecommerce;Germany;17M;86;1983
Xucker;https://xucker.de;Ecommerce;Germany;8M;27;2004
Reinbold Friseur;https://friseur-einkauf.com;Retail;Germany;10M;22;2004
Sempre Analytics;https://sempreanalytics.com;Technology;United Kingdom;5M;18;2011
Mavera;https://mavera.com;Insurance;Sweden;5M;12;2008
Pariani;https://pariani.org;Food & Beverage;Italy;2M;9;2011
Hrpepper;https://hrpepper.de;Management Consulting;Germany;3M;26;2012
LetoMotel;https://letomotel.de;Travel & Leisure;Germany;7M;50;2008
wikifolio Financial Technologies;https://wikifolio.com;Financial Services;Austria;3M;32;2011
GermanPersonnel e-search;https://germanpersonnel.de;Support Services;Germany;7M;52;2002
BeGear;https://begear.it;Support Services;Italy;1M;63;2010
Mind the Value;https://mindthevalue.com;Management Consulting;Italy;2M;20;2011
Welljob;https://welljob.fr;Support Services;France;42M;109;1997
Edition Michael Fischer;https://emf-verlag.de;Advertising;Germany;6M;22;1991
J. Huber;https://j-huber.de;Automobiles;Germany;5M;26;1986
GSM Training & Integration;https://gsm-group.de;Support Services;Germany;28M;600;2008
PrivateFly;https://privatefly.com;Travel & Leisure;United Kingdom;26M;31;2008
Ecometrica;https://ecometrica.com;Technology;United Kingdom;3M;26;2008
EnVersum;https://enversum.de;Energy;Germany;175M;26;2006
Communicate plc;https://communicateplc.com;Technology;United Kingdom;2M;18;2011
RAWOPLAST;https://rawoplast.de;Industrial Goods;Germany;7M;13;2009
Spektrix;https://spektrix.com;Technology;United Kingdom;6M;65;2007
7Layers;https://7layers.it;Cyber Security;Italy;2M;8;2012
Bluecube;https://bluecube.it;Technology;Italy;1M;16;2009
Artialis SA;https://artialis.com;Health;Belgium;2M;21;2010
Cartes & Services;https://cartes-services.fr;Support Services;France;4M;150;2010
SAPELEC;https://sapelec.net;Energy;France;3M;21;1995
E2Evolution;https://zoomalia.com;Retail;France;11M;48;2009
First Utility**;https://first-utility.com;Energy;United Kingdom;1112M;927;2004
DMS Technologie;https://dms-tec.de;Industrial Goods;Germany;5M;18;2010
Frank Recruitment Group;https://frankgroup.com;Support Services;United Kingdom;126M;1000;2006
Marrero Santana e Hijos;https://transportesmarrerosantanaehijos.es;Transport;Spain;2M;65;1997
GreenCity Immobilier;https://greencityimmobilier.fr;Construction;France;12M;53;2011
KOLGA;https://flashsalelogistics.com;Ecommerce;Germany;4M;18;2012
EZS Identtechnik;https://e-z-s.de;Technology;Germany;3M;8;1997
Hidramar;https://hidramar.com;Construction;Spain;12M;56;1990
Ad's up Consulting;https://ads-up.fr;Media;France;3M;37;2012
National Standard;https://nationalstandard.fr;Fashion;France;1M;4;2010
Lineup Systems;https://lineup.com;Technology;United Kingdom;9M;86;2009
IPC Piping;https://ipcpiping.com;Industrial Goods;France;3M;4;2011
Italfrom;https://italfrom.com;Ecommerce;Italy;3M;11;2010
Qualitance;https://qualitance.com;Technology;Romania;6M;162;2007
Alpenschloessl;https://wellnessresort.it;Travel & Leisure;Italy;7M;71;1998
Prodigioso VolcÃ¡n;https://prodigiosovolcan.com;Advertising;Spain;2M;40;2010
Ede Holdings;https://edehomes.co.uk;Property;United Kingdom;21M;21;1964
Gapps Oy;https://gapps.fi;Technology;Finland;1M;21;2010
Hightex Verstärkungsstrukturen ;https://hightex-dresden.de;Technology;Germany;5M;53;1998
Housesimple;https://housesimple.com;Property;United Kingdom;2M;45;2007
Panenka;https://agence-panenka.com;Media;France;1M;2;2012
Bon Plan;https://agencebonplan.fr;Media;France;4M;10;2007
PVZ Srl;https://callmewine.com;Ecommerce;Italy;3M;6;2010
Aspens Services;https://aspens-services.co.uk;Food & Beverage;United Kingdom;30M;1259;2008
BaseTIS;https://basetis.com;Management Consulting;Spain;6M;188;2009
Greenproject Italia;https://greenprojectitalia.it;Beauty;Italy;2M;12;2011
Gearhouse Actis;https://gearhouseactis.com;Media;France;3M;13;1991
Readie Construction;https://readieconstruction.co.uk;Construction;United Kingdom;124M;90;2007
GBC Containers;https://gbcgrupo.es;Transport;Spain;1M;24;2010
CÃ¡rnicas Discarpe;https://n/a;Retail;Spain;3M;6;2011
Avenir développement Durable;https://alertgasoil.com;Technology;France;4M;41;2009
Builders and Partners;https://buildersandpartners.com;Property;France;12M;100;2010
Inside Group;https://insidegroup.fr;Technology;France;12M;190;2012
BXR IndustrieService;https://bxr-group.de;Support Services;Germany;3M;130;2006
Sekai Nature;https://sekainature.com;Agricultural commodities;Spain;9M;8;2010
Colorful Trade;https://colorfultrade.de;Fashion;Germany;3M;12;2012
SaleCycle;https://salecycle.com;Technology;United Kingdom;14M;145;2010
SK World;https://skworld.es;Retail;Spain;5M;5;2011
CentroMedico Santagostino;https://cmsantagostino.it;Health;Italy;15M;139;2006
Medeland Events;https://medeland.es;Advertising;Spain;1M;9;2010
Deflomas Eyewear;https://deflomas.it;Sales & Marketing;Italy;2M;3;2009
inventiva;https://inventivapharma.com;Chemicals;France;9M;107;2011
Gepp's;https://gepps.de;Retail;Germany;3M;129;2012
Techteam;https://fr-techteam.com;Support Services;France;2M;31;2009
Endosmart;https://endosmart.com;Health;Germany;4M;50;2002
GPP Communication;https://gpp-com.de;Technology;Germany;2M;16;2007
Medilog;https://medilog-hamburg.de;Health;Germany;5M;41;2010
ÃlamoConsulting;https://alamoconsulting.com;Management Consulting;Spain;13M;146;2007
BOLDInt;https://boldint.com;Technology;Portugal;14M;502;2009
Generalmarine;https://generalmarine.it;Telecoms;Italy;1M;11;2010
eXXpozed;https://exxpozed.de;Ecommerce;Germany;15M;69;2010
CouteauxduChef.com;https://couteauxduchef.com;Retail;France;1M;4;2009
FMad;https://fmad.fr;Media;France;2M;10;2012
WIESE Tischlerei + Brandschutzbau;https://wtb-brandschutzbau.de;Construction;Germany;1M;20;2007
Adhunter;https://adzuna.co.uk;Ecommerce;United Kingdom;7M;49;2010
Eliraweb;https://eliraweb.fr;Media;France;2M;8;2007
ETS;https://etsingegneria.it;Construction;Italy;2M;11;2005
Mesauda Milano;https://mesaudacosmetics.it;Beauty;Italy;11M;20;2004
Equal Experts;https://equalexperts.com;Technology;United Kingdom;83M;91;2007
i-systems;https://i-systems.net;Ecommerce;Poland;2M;86;2002
E-WALD;https://e-wald.eu;Support Services;Germany;2M;17;2012
Quote Devil;https://QuoteDevil.ie;Insurance;Ireland;2M;45;2006
Target Spa;https://panedore.it;Food & Beverage;Italy;5M;29;1999
Capitole Gestion Patrimoine;https://cagepat.fr;Financial Services;France;2M;40;2012
Little Green House;https://littlegreenhouse.ch;Education;Switzerland;5M;110;2011
Dolce Milano;https://dolcemilano.eu;Food & Beverage;Italy;10M;6;2012
concentrade;https://concentrade.de;Technology;Germany;9M;26;1997
F.H. Wheel Center;https://premio-dresden.de;Automobiles;Germany;11M;34;2012
