,Unnamed: 0,ticker,name,website,headquarter,employees,industry,type,source
1600,1600,CASTs,Castellum AB (CASTs),www.castellum.se,"Östra Hamngatan 16 Gothenburg, Sweden",409,Real Estate Management & Development,ORD,investing
1601,1601,ICGT,ICG Enterprise Trust PLC (ICGT),www.icg-enterprise.co.uk,"Procession House 55 Ludgate Hill London, EC4M 7JW United Kingdom",-,Capital Markets,Closed-End,investing
1602,1602,EDF,Electricite de France SA (EDF),www.edf.fr,"22-30, avenue de Wagram cedex 08 Paris, 75008 France",161203,Electric Utilities,ORD,investing
1603,1603,ISOS,Ipsos (ISOS),www.ipsos.com,"35, rue du Val de Marne Paris, 75013 France",17640,Media,ORD,investing
1604,1604,RAAd,Rational AG (RAAd),www.rational-online.com,"Siegfried-Meister-Strasse 1 Landsberg am Lech, 86899 Germany",2186,Machinery,ORD,investing
1605,1605,AG,First Majestic Silver Corp (AG),www.firstmajestic.com,"925 West Georgia Street Suite 1800 Vancouver, V6C 3L2 Canada",4000,Metals & Mining,ORD,investing
1606,1606,KIPO,Kinepolis Group NV (KIPO),www.kinepolis.com,"Eeuwfeestlaan 20 Brussels, 1020 Belgium",1215,Entertainment,ORD,investing
1607,1607,FRAG,Fraport AG (FRAG),www.fraport.com,"Frankfurt Airport Services Worldwide Frankfurt am Main, 60547 Germany",18249,Transportation Infrastructure,ORD,investing
1608,1608,AUSC,Abrdn UK Smaller Companies Growth Trust PLC (AUSC),www.abrdnuksmallercompaniesgrowthtrust.co.uk,"One George Street 97 Haymarket Terrace Edinburgh, EH2 2LL United Kingdom",-,Capital Markets,Closed-End,investing
1609,1609,N91,Ninety One PLC (N91),ninetyone.com,"36 Hans Strijdom Avenue Foreshore Cape Town, 8001 South Africa",1174,Capital Markets,ORD,investing
1610,1610,EDIN,Edinburgh Investment Trust (EDIN),www.invescoperpetual.co.uk/portal/site/ip/products/productDetail?contentId=136c6f4edefed210VgnVCM100,"10 Old Bailey London, EC4M 7NG United Kingdom",7,Capital Markets,Closed-End,investing
1611,1611,BP,BP PLC (BP),www.bp.com,"1 St James's Square London, SW1Y 4PD United Kingdom",63600,"Oil, Gas & Consumable Fuels",ORD,investing
1612,1612,AKE,Arkema SA (AKE),www.arkema.com,"420 rue d'Estienne d'Orves Cedex Colombes, 92700 France",20600,Chemicals,ORD,investing
1613,1613,JUSTJ,Just Group PLC (JUSTJ),www.justgroupplc.co.uk,"Enterprise House Bancroft Road Reigate, RH2 7RP United Kingdom",1038,Insurance,ORD,investing
1614,1614,RELIq,Reliance Industries Ltd DRC (RELIq),www.ril.com,"Maker Chambers IV 3rd Floor 222 Nariman Point Mumbai, 400021 India",236334,"Oil, Gas & Consumable Fuels",DRC,investing
1615,1615,ENB,Enbridge Inc (ENB),www.enbridge.com,"200, Fifth Avenue Place 425 - 1st Street SW Calgary, T2P 3L8 Canada",11200,"Oil, Gas & Consumable Fuels",ORD,investing
1616,1616,NEOEN,Neoen SA (NEOEN),www.neoen.com,"6, rue Ménars Paris, 75002 France",232,Independent Power and Renewable Electricity Producers,ORD,investing
1617,1617,TIETO,TietoEVRY Corp (TIETO),www.tietoevry.com,"Keilalahdentie 2-4 P.O.Box 2 Espoo, 02101 Finland",23860,IT Services,ORD,investing
1618,1618,NLMKq,Novolipetsk Steel PAO DRC (NLMKq),www.nlmk.com,"2, Metallurgov square Lipetsk, 398040 Russia",30181,Metals & Mining,DRC,investing
1619,1619,LTGL,Learning Technologies Group PLC (LTGL),www.ltgplc.com,"London, EC4A 1BW United Kingdom",790,Computer Services,ORD,investing
1620,1620,CBLP,Mersen (CBLP),www.mersen.com,"Tour EQHO 2 avenue Gambetta La Défense cedex CS 10077 Paris, 92066 France",6866,Electrical Equipment,ORD,investing
1621,1621,NOEJ,Norma Group AG NA O.N. (NOEJ),www.normagroup.com,"Edisonstrasse 4 Maintal, 63477 Germany",6484,Machinery,ORD,investing
1622,1622,ATMI,ASTM SpA (ATMI),www.astm.it,"Corso Regina Margherita 165 Turin, 10144 Italy",6075,Transportation Infrastructure,ORD,investing
1623,1623,STM,STMicroelectronics NV (STM),www.st.com,"39 Chemin du Champ des Filles 1228 Plan-Les-Ouates Geneva, Switzerland",46016,Semiconductors & Semiconductor Equipment,ORD,investing
1624,1624,S32,South32 Ltd (S32),www.south32.net,"108 St Georges Terrace Level 36 Perth, 6000 Australia",13624,Metals & Mining,ORD,investing
1625,1625,MRK,Merck & Company Inc (MRK),www.merck.com,"2000 Galloping Hill Road Kenilworth, 07033 United States",73500,Pharmaceuticals,ORD,investing
1626,1626,HOLMBs,Holmen AB (HOLMBs),www.holmen.com,"PO Box 5407 Stockholm, 114 84 Sweden",3300,Paper & Forest Products,ORD,investing
1627,1627,CAMX,Camurus AB (CAMX),www.camurus.com,"Ideon Science Park Lund, 223 70 Sweden",146,Pharmaceuticals,ORD,investing
1628,1628,YNGa,Young & Co’S Brewery A (YNGa),www.youngs.co.uk,"Riverside House 26 Osiers Road Wandsworth London, SW18 1NH United Kingdom",4185,"Hotels, Restaurants & Leisure",ORD,investing
1629,1629,GLTRq,Globaltrans Investment PLC (GLTRq),www.globaltrans.com,"Nizhnyay' Krasnoselskaya street 39 Bloulevard 1 Moscow, Russia",1777,Road & Rail,DRC,investing
1630,1630,BIFF,Biffa PLC (BIFF),www.biffa.co.uk,"Coronation Road Cressex High Wycombe, HP12 3TZ United Kingdom",8257,Commercial Services & Supplies,ORD,investing
1631,1631,SRAIL,Stadler Rail AG (SRAIL),www.stadlerrail.com,"Ernst-Stadler-Strasse 1 Bussnang, 9565 Switzerland",12025,Machinery,ORD,investing
1632,1632,RNK,Rank Group PLC (RNK),www.rank.com,"TOR Saint-Cloud Way Maidenhead, SL6 8BN United Kingdom",4138,"Hotels, Restaurants & Leisure",ORD,investing
1633,1633,EKTABs,Elekta AB ser. B (EKTABs),www.elekta.com,"Kungstensgatan 18 Box 7593 Stockholm, 103 93 Sweden",4000,Health Care Equipment & Supplies,ORD,investing
1634,1634,PANI,Pantheon Internat Participations (PANI),www.piplc.com,"10 Finsbury Square 4th Floor London, EC2A 1AF United Kingdom",-,Capital Markets,Closed-End,investing
1635,1635,UBIP,Ubisoft Entertainment (UBIP),www.ubisoft.com,"2, avenue Pasteur Saint-Mandé, 94160 France",20754,Entertainment,ORD,investing
1636,1636,GRG,Greggs PLC (GRG),corporate.greggs.co.uk,"Greggs House Quorum Business Park Newcastle upon Tyne, NE12 8BU United Kingdom",21538,"Hotels, Restaurants & Leisure",ORD,investing
1637,1637,TEL,Telenor ASA (TEL),www.telenor.com,"Snarøyveien 30 Fornebu, 1360 Norway",18000,Diversified Telecommunication Services,ORD,investing
1638,1638,NIO,Nio Inc Class A ADR (NIO),www.nio.com,"Building 20 No. 56 AnTuo Road Anting Town Jiading District Shanghai, 201804 China",7763,Automobiles,ADR,investing
1639,1639,JET2,Jet2 PLC (JET2),www.jet2plc.com,"Low Fare Finder House Leeds Bradford Airport Leeds, LS19 7TU United Kingdom",9051,Airlines,ORD,investing
1640,1640,IHG,InterContinental Hotels Group PLC (IHG),www.ihgplc.com,"Broadwater Park Denham, UB9 5HR United Kingdom",12832,"Hotels, Restaurants & Leisure",ORD,investing
