,Unnamed: 0,name,title,company_ticker,source
0,0,Mr. R. Wade Rogers,Sr. VP of Global HR & Chief Compliance Officer,HUN,yahoo
1,1,Mr. Rafal Brzoska,CEO & Chairman of Management Board,INPOY,yahoo
2,2,Mr. David M. Stryker,"Exec. VP, Gen. Counsel & Sec.",HUN,yahoo
3,3,Mr. Jose Teodoro Katigbak Limcaoco,"Pres, CEO & Director",BPHLY,yahoo
4,4,Mr. Anthony P. Hankins,Division Pres of Polyurethanes & CEO of Asia-Pacific,HUN,yahoo
5,5,Mr. Adam Aleksandrowicz,CFO & Member of Management Board,INPOY,yahoo
6,6,Ms. Maria Theresa D. Marcial-Javier,"Exec. VP, CFO, Chief Sustainability Officer and Head of Strategy & Fin.",BPHLY,yahoo
7,7,Mr. Peter R. Huntsman,"Chairman, Pres & CEO",HUN,yahoo
8,8,Mr. Dariusz Lipinski,Chief Operating Officer,INPOY,yahoo
9,9,Mr. Ramon Locsin Jocson,"Exec. VP, COO & Head of Enterprise Services Group",BPHLY,yahoo
10,10,Mr. Philip M. Lister,"Exec. VP, CFO & VP of Corp. Devel.",HUN,yahoo
11,11,Mr. Michael Rouse,CEO of International Bus. & Member of Management of Board,INPOY,yahoo
12,12,Ms. Noravir Alvarez Gealogo,VP & Chief Compliance Officer,BPHLY,yahoo
13,13,Mr. Glenn Kelman,"Pres, CEO & Director",RDFN,yahoo
14,14,Mr. Damian Niewiadomski,Chief Commercial Officer,INPOY,yahoo
15,15,Ms. Twila M. Day,VP & Chief Information Officer,HUN,yahoo
16,16,Ms. Mary Catherine Elizabeth P Santamaria,Sr. VP & Chief Marketing Officer,BPHLY,yahoo
17,17,Mr. Chris Nielsen,Chief Financial Officer,RDFN,yahoo
18,18,Ms. Marie Josephine M. Ocampo,Exec. VP & Head of Mass Retail Products,BPHLY,yahoo
19,19,Mr. John Calder,Director of Investor Relations,HUN,yahoo
20,20,Ms. Bridget Jean Frey,Chief Technology Officer,RDFN,yahoo
21,21,Mr. Marcin Adam Pulchny,CFO of Polish market,INPOY,yahoo
22,22,Mr. Rinaldo Hechanova Fernandez,Sr. VP of Global Markets,BPHLY,yahoo
23,23,Mr. Ivan Mathew Marcuse,VP of Investor Relations,HUN,yahoo
24,24,Mr. Scott Nagel,Pres of Strategic Initiatives,RDFN,yahoo
25,25,Ms. Marita Socorro Domingo Gayares,Sr. VP & Chief Risk Officer,BPHLY,yahoo
26,26,Mr. Brian V. Ridd,Sr. VP of Purchasing,HUN,yahoo
27,27,Mr. Adam Wiener,Pres of Real Estate Operations,RDFN,yahoo
28,28,Ms. Pilar Bernadette C. Marquez,Sr. VP of Enterprise Services,BPHLY,yahoo
29,29,Mr. Ronald W. Gerrard,"Sr. VP of Environmental, Health & Safety and Manufacturing Excellence",HUN,yahoo
30,30,Mr. Eugenio P. Mercado,Sr. VP of Enterprise Services,BPHLY,yahoo
31,31,Ms. Meg Nunnally,Head of Investor Relations,RDFN,yahoo
32,32,Mr. Anthony Ray Kappus,"VP of Legal, Gen. Counsel & Corp. Sec.",RDFN,yahoo
33,33,Ms. Lisa Taylor,VP of Marketing,RDFN,yahoo
34,34,Ms. Ee Lyn Khoo,Chief HR Officer,RDFN,yahoo
35,35,Ms. Karen S. Krupsaw,Sr. VP of Real Estate Operations,RDFN,yahoo
36,36,Attorney Ray C. Espinosa,Sr. Advisor to Pres & CEO and Non-Exec. Director,PHI,yahoo
37,37,Attorney Maria Lourdes C. Rausa-Chan,Corp. Sec. & Chief Governance Officer,PHI,yahoo
38,38,Mr. Alfredo S. Panlilio,"Pres, CEO, Chief Revenue Officer & Director",PHI,yahoo
39,39,Ms. Anabelle Lim Chua,"Sr. VP, CFO & Chief Risk Management Officer",PHI,yahoo
40,40,Ms. Melissa V. Vergel de Dios,"First VP, Head of IR, Head of Corp. Sustainability Office & Chief Sustainability Officer",PHI,yahoo
41,41,Ms. Caren L. Mason,"CEO, Pres & Director",STAA,yahoo
42,42,Attorney Marilyn A. Victorio-Aquino,"Sr. VP, Head of Corp. Affairs & Legal Services and Chief Legal Counsel",PHI,yahoo
43,43,Mr. Patrick F. Williams,Chief Financial Officer,STAA,yahoo
44,44,Ms. Catherine Y. Yang,First VP & Group Corp. Communications Officer,PHI,yahoo
45,45,Dr. Keith Holliday,Chief Technology Officer,STAA,yahoo
46,46,Mr. Alejandro O. Caeg,Sr. VP & Head of Consumer Sales,PHI,yahoo
47,47,Mr. Hans-Martin Blickensdoerfer,Sr. VP of Commercial Operations and Director of Markets - Europe & China,STAA,yahoo
48,48,Ms. Mary Eleanor Nadal-Wei,VP & Head of Strategic Partnerships and Corp. Devel.,PHI,yahoo
49,49,Dr. Scott D. Barnes M.D.,Chief Medical Officer,STAA,yahoo
50,50,Ms. Gina Marina P. Ordo̱ez,Sr. VP & Chief People Officer,PHI,yahoo
51,51,Mr. Graydon C. Hansen,Chief Manufacturing Officer & Sr. VP of Global Operations,STAA,yahoo
52,52,Mr. Brian Moore,"VP of Investor, Media Relations & Corp. Devel.",STAA,yahoo
53,53,Mr. Samuel J. Gesten,Chief Legal Officer & Corp. Sec.,STAA,yahoo
54,54,Mr. Frank J. Del Rio,"Pres, CEO & Director",NCLH,yahoo
55,55,Mr. Roy M. Twite,CEO & Director,IMIAF,yahoo
56,56,Mr. William Goodmen,VP of Global HR,STAA,yahoo
57,57,Mr. Mark A. Kempa,Exec. VP & CFO,NCLH,yahoo
58,58,Mr. Daniel J. Shook,Fin. Director & Director,IMIAF,yahoo
59,59,Mr. Irwin C. Lee,"CEO, Pres & Director",UVRBF,yahoo
60,60,Mr. Antonio J. Pietri,"Pres, CEO & Director",AZPN,yahoo
61,61,Mr. James Francese,Sr. VP of Commercial Operations - North America & APAC,STAA,yahoo
62,62,Mr. T. Robin Lindsay,Exec. VP of Vessel Operations,NCLH,yahoo
63,63,Mr. John Dean,Head of Investor Relations,IMIAF,yahoo
64,64,Mr. Francisco M. Del Mundo,CFO & Sr. VP,UVRBF,yahoo
65,65,Ms. Chantelle Breithaupt,Sr. VP & CFO,AZPN,yahoo
66,66,Dr. Bobby L. Martin,Exec. Chairman,GPS,yahoo
67,67,Mr. Harry J. Sommer,Pres & CEO of Norwegian Cruise Line,NCLH,yahoo
68,68,Ms. Louise Waldek,Group Gen. Counsel & Company Sec.,IMIAF,yahoo
69,69,Ms. Karen Therese C. Salgado,Chief Information Officer,UVRBF,yahoo
70,70,Mr. John W. Hague,Exec. VP of Operations,AZPN,yahoo
71,71,Mr. Fabian S. Dee,Pres & Exec. Director,MTPOY,yahoo
72,72,Ms. Sonia Syngal,"CEO, Pres & Director",GPS,yahoo
73,73,Mr. Jason M. Montague,Pres & CEO of Regent Seven Seas Cruises,NCLH,yahoo
74,74,Mr. Frederic G. Hammond,"Sr. VP, Gen. Counsel & Sec.",AZPN,yahoo
75,75,Jose Miguel T. Manalang,Director of Strategy & Investor Relations,UVRBF,yahoo
76,76,Ms. Liz Rose,Group HR Director,IMIAF,yahoo
77,77,Mr. Martin J. Lyons Jr.,Chairman & Pres,UEPEN,yahoo
78,78,Mr. Joshua E. Naing,Head of the Financial & Control Sector and Sr. EVP,MTPOY,yahoo
79,79,Ms. Katrina O'Connell,Exec. VP & CFO,GPS,yahoo
80,80,Ms. Faye L. Ashby,Sr. VP & Chief Accounting Officer,NCLH,yahoo
81,81,Mr. Christopher Stagno CPA,Sr. VP & Chief Accounting Officer,AZPN,yahoo
82,82,Mr. Magnus Ahlqvist,Pres & CEO,SCTBF,yahoo
83,83,Ms. Rhodora T. Lao,Corp. Controller and Chief Compliance & Risk Officer,UVRBF,yahoo
84,84,Mr. Jackie Hu,Divisional Managing Director of IMI Critical Engineering,IMIAF,yahoo
85,85,Mr. Michael L. Moehn,"Exec. VP, CFO & Director",UEPEN,yahoo
86,86,Mr. Chris O'Shea,Group Chief Exec. & Director,CPYYF,yahoo
87,87,Mr. Paul Robert Y. Murga,Exec. VP & Head of Operations Group,MTPOY,yahoo
88,88,Ms. Julie Gruber,"Exec. VP, Chief Legal & Compliance Officer and Corp. Sec.",GPS,yahoo
89,89,Mr. Andreas Lindback,Chief Financial Officer,SCTBF,yahoo
90,90,Mr. Scott J. Medhurst,"CEO, Pres & Director",TMTNF,yahoo
91,91,Ms. Jessica John,"VP of Investor Relations, Corp. Communications & ESG",NCLH,yahoo
92,92,Mr. Willie K. Chan,Chief Technology Officer,AZPN,yahoo
93,93,Mr. Fadi M. Diya,"Sr. VP, Chief Nuclear Officer & Director",UEPEN,yahoo
94,94,Attorney Elvin Michael L. Cruz,Corp. Legal Counsel,UVRBF,yahoo
95,95,Ms. Minda Claver A. Olonan,FVP & Head of Investor Relations,MTPOY,yahoo
96,96,Mr. Mike Semens-Flanagan,Chief Technology Officer at IMI Critical Engineering,IMIAF,yahoo
97,97,Ms. Kate Ringrose,Group CFO & Exec. Director,CPYYF,yahoo
98,98,Mr. Shunqiang Zhao,Exec. Chairman & CEO,CHOLF,yahoo
99,99,Mr. Michael Stanley Howie McMillan,Exec. VP & CFO,TMTNF,yahoo
100,100,Mr. Mark Breitbard,Pres & CEO of Gap Brand,GPS,yahoo
101,101,Mr. Martin Alth̩n,Chief Information Officer,SCTBF,yahoo
102,102,Mr. Glover H. Lawrence,Sr. VP of Corp. Devel.,AZPN,yahoo
103,103,Mr. Nishan J. Vartanian,"Chairman, Pres & CEO",MSA,yahoo
104,104,Mr. Daniel S. Farkas,"Exec. VP, Gen. Counsel & Assistant Sec.",NCLH,yahoo
105,105,Ms. Maria MacGregor Pope,"Pres, CEO & Director",POR,yahoo
106,106,Mr. Ian Andrew Johnson,Chief Financial Officer of IMI Critical Engineering,IMIAF,yahoo
107,107,Ms. Bhavani Amirthalingam,Sr. VP & Chief Digital Information Officer of Ameren Services,UEPEN,yahoo
108,108,Mr. Arnulfo Brillantes Pascioles Jr.,Head of Compliance Division,MTPOY,yahoo
109,109,Ms. Anne Patricia C. Go,VP for Advter. & Marketing Services,UVRBF,yahoo
110,110,Ms. Lisa Micaela Sjokvist,Head of Investor Relations & Acting Sr. VP of Corp. Communications,SCTBF,yahoo
111,111,Mr. Yonggang Zheng,Chief Financial Officer,CHOLF,yahoo
112,112,Mr. Alex Xiang,Managing Director of China operations,NCLH,yahoo
113,113,Ms. Nancy Green,Pres & CEO of Old Navy,GPS,yahoo
114,114,Mr. Kenneth D. Krause,"Sr. VP, CFO & Treasurer",MSA,yahoo
115,115,Martyn Espley,Head of Investor Relations,CPYYF,yahoo
116,116,Mr. Phil Clifton,Divisional Managing Director of IMI Hydronic Engineering,IMIAF,yahoo
117,117,Mr. Hierbert A. Dimagiba,"Chief Marketing Officer, SVP and Head of Analytics, Brand, Communications & Marketing Technology",MTPOY,yahoo
118,118,Ms. Frida Rosenholm,"Sr. VP, Gen. Counsel and Group Legal, Risk & Bus. Ethics",SCTBF,yahoo
119,119,Mr. John Teeruk Kochavatr,VP of Information Technology & Chief Information Officer,POR,yahoo
120,120,Mr. Kevin D. Anders,VP of Operations & Technical Services,UEPEN,yahoo
121,121,Mr. Lawrence Schwartz,Sr. VP & Chief Marketing Officer,AZPN,yahoo
122,122,Mr. John F. Strain,Chief Digital & Technology Officer,GPS,yahoo
123,123,Mr. Laurent Levan,Sr. VP of Corp. Devel. & External Affairs,UVRBF,yahoo
124,124,Mr. David Herrera,Sr. VP of Strategy & Corp. Devel.,NCLH,yahoo
125,125,Mr. Michael P. Cuddy,Chief Information Officer & VP,TMTNF,yahoo
126,126,Tao Lu,VP and Gen. Legal Counsel,CHOLF,yahoo
127,127,Ms. Stephanie L. Sciullo,VP & Chief Legal Officer,MSA,yahoo
128,128,Mr. Homer Gerrard-L. Ortega,Sr. VP & Head of HR Management Group,MTPOY,yahoo
129,129,Mr. Bruce A. Steinke,Sr. VP of Fin. & Chief Accounting Officer,UEPEN,yahoo
130,130,Ms. Lisa Ann Kaner,"VP, Gen. Counsel & Corp. Compliance Officer",POR,yahoo
131,131,Ms. Elisa O. Abalajon,Chief HR Officer,UVRBF,yahoo
132,132,Ms. Beth Ferreira,Divisional Managing Director of IMI Precision Engineering Division,IMIAF,yahoo
133,133,Mr. Raj Roy,Group Gen. Counsel & Company Sec.,CPYYF,yahoo
134,134,Mr. Meisheng Qi,Exec. Director,CHOLF,yahoo
135,135,Mr. Patrick Henry C. Go,Exec. VP & Director,UVRBF,yahoo
136,136,"Ms. Jill Shedden M.B.E., MBE",Group Director of HR,CPYYF,yahoo
137,137,Mr. Douglas A. Fischer,"Sr. Director, Investor Relations",UEPEN,yahoo
138,138,Mr. Aniceto Mangahas Sobrepe̱a,Exec. Vice-Pres,MTPOY,yahoo
139,139,Mr. Stephen Howard Kramer,"CEO, Pres & Director",BFAM,yahoo
140,140,Ms. Nina Bhatia,Managing Director of Connected Homes,CPYYF,yahoo
141,141,Carin Andersson,Group Head of Communications,SCTBF,yahoo
142,142,Mr. Eligio Cari̱o Labog Jr.,Head of Commercial Banking Group and Exec. VP,MTPOY,yahoo
143,143,Dexing Yang,VP and Safety Director,CHOLF,yahoo
144,144,Ms. Chonda J. Nwamu Esq.,"Sr. VP, Gen. Counsel, Sec. & Director",UEPEN,yahoo
145,145,Mr. Fermin Tan Chio,Sr. VP,MTPOY,yahoo
146,146,Ms. Elizabeth J. Boland,Chief Financial Officer,BFAM,yahoo
147,147,Mr. Steven C. Blanco Sr.,VP & Pres of Americas,MSA,yahoo
148,148,Ms. Cathryn Halton,Marketing and Communications Director,SCTBF,yahoo
149,149,Mr. Mark C. Birk,Sr. VP of Customer & Power Operations and Director,UEPEN,yahoo
150,150,Mr. Chris Cox,Managing Director of Exploration & Production,CPYYF,yahoo
151,151,Mr. James A. Ajello,"Sr. VP of Fin., CFO & Treasurer",POR,yahoo
152,152,Mr. Skip Maloney,Sr. VP & Chief HR Officer,AZPN,yahoo
153,153,Mr. Steve Austenfeld,Head of Investor Relations,GPS,yahoo
154,154,Mr. Miles Sean Ryan Gregg,Pres of Toromont Cat Construction,TMTNF,yahoo
155,155,Mr. John G. Casagrande,Gen. Counsel & Sec.,BFAM,yahoo
156,156,Mr. Bob Willem Leenen,VP & Pres of MSA International,MSA,yahoo
157,157,Mr. Timothy E. Herrmann,"Sr. VP of Corp. Safety, Security & Operations Oversight",UEPEN,yahoo
158,158,Ms. Helena Andreas,Sr. VP of Group Communications & People,SCTBF,yahoo
159,159,Mr. Eddy Collier,Global Head of Bus. Devel.,CPYYF,yahoo
160,160,Ms. Michele Triponey,Exec. VP of Field Operations & Chief Customer Success Officer,AZPN,yahoo
161,161,Jardon Jaramillo,"Sr. Director of Investor Relations, Treasury and Risk Management",POR,yahoo
162,162,Ms. Sheila Peters,Exec. VP & Chief People Officer,GPS,yahoo
163,163,Ms. Lynn M. Korbak,Gen. Counsel & Corp. Sec.,TMTNF,yahoo
164,164,Ms. Maribeth Nash Bearfield,Chief HR Officer,BFAM,yahoo
165,165,Mr. Jonathan D. Buck,Corp. Controller & Chief Accounting Officer,MSA,yahoo
166,166,Mr. William Barthelemy,Advisor,SCTBF,yahoo
167,167,Mr. Carl Bayliss,Head of Mobility & Home Energy Management,CPYYF,yahoo
168,168,Mr. William David Robertson,VP of Public Affairs,POR,yahoo
169,169,Mr. Thomas J. Lima,Sr. VP & Gen. Counsel,GPS,yahoo
170,170,Mr. David Alan Malinauskas,Pres of CIMCO Refrigeration,TMTNF,yahoo
171,171,Ms. Mary Lou Burke-Afonso,Chief Operating Officer of North America Center Operations,BFAM,yahoo
172,172,Mr. Bart Adam,Strategic Advisor,SCTBF,yahoo
173,173,Mr. Markus H. Weber,Chief Information Officer & VP,MSA,yahoo
174,174,Jim Rushen,Group Head of Environment,CPYYF,yahoo
