active_years,agency_links,agency_names,association_links,association_names,birth_name,birth_place,bloodtype,family,family_links,fandom,fandom_colors,group_debut,height,instruments,legal_name,link,name,occupation,partner_links,partners,socials,solo_debut,weight
2017–present,https://kpop.fandom.com//wiki/ONO_Entertainment,ONO Entertainment,https://kpop.fandom.com//wiki/LIMITLESS_(group),LIMITLESS,Seong Hyun-woo (성현우),South Korea,,,,,,"July 9, 2019",,,,https://kpop.fandom.com/wiki/A.M,A.M,"Rapper, singer",,,https://www.instagram.com/a_stru_m/,"February 18, 2021",
2019–present,https://kpop.fandom.com//wiki/Oneworld_Entertainment,Oneworld Entertainment,https://kpop.fandom.com//wiki/AWEEK,AWEEK,Choi Ji-woong (최지웅),"Gwangmyeong, Gyeonggi-do, South Korea",A,,,,,"January 31, 2019",182 cm (6 ft 0 in),,,https://kpop.fandom.com/wiki/Aiden,Aiden,"Singer, rapper",,,,,63 kg (139 lb)
2017–2018,,,https://kpop.fandom.com//wiki/UNICA,UNICA,Lee Se-ran (이세란),South Korea,,,,,,"November 13, 2017",166 cm (5 ft 5 in),,,https://kpop.fandom.com/wiki/Aibin,Aibin,Rapper,,,https://www.instagram.com/ran_i_26/,,48 kg (106 lb)
2019–present,,,https://kpop.fandom.com//wiki/MIDNIGHT_(group),MIDNIGHT,Hong A-hyeon (홍아현),,,,,,,,,,,https://kpop.fandom.com/wiki/Ahyeon,Ahyeon,"Singer, rapper, dancer",,,"https://www.instagram.com/a._.hn/,https://www.youtube.com/channel/UCS1rK2K0vnGwhY4DbSeLe0w",,
2013–2016,,,"https://kpop.fandom.com//wiki/Best_of_the_Best_(show),https://kpop.fandom.com//wiki/GI","Best of the Best,GI",Kim Kyung-won (김경원),"Seoul, South Korea",A,,,,,"April 3, 2013",163 cm (5 ft 4 in),,Kim Na-yeon (김나연),https://kpop.fandom.com/wiki/AI_(GI),AI,"BJ, model",,,"http://bj.afreecatv.com/nayeonaa,https://www.instagram.com/k.metel/,https://www.instagram.com/nayeonaaaa/,https://www.youtube.com/channel/UCs-33TO6t5jwiRY9v5uJbDw",,41 kg (90 lb)
2020–present,,,https://kpop.fandom.com//wiki/BOTOPASS,BOTOPASS,Choi Su-bin (최수빈),"Dongdaemun-gu, Seoul, South Korea",,,,,,"August 26, 2020",,,,https://kpop.fandom.com/wiki/Ahyoon,Ahyoon,Singer,,,,,
2021–present,https://kpop.fandom.com//wiki/SRP_Entertainment,SRP Entertainment,https://kpop.fandom.com//wiki/Rocking_Doll,Rocking Doll,Maeng Hwi-su (맹휘수),"Cheonan, Chungcheongnam-do, South Korea",,,,,,"December 19, 2021",165 cm (5 ft 5 in),,,https://kpop.fandom.com/wiki/Ahri,Ahri,Singer,,,,,
2019–present,,,https://kpop.fandom.com//wiki/VANNER,VANNER,Park Sung-kook (박성국),,AB,,,,,,177 cm,,,https://kpop.fandom.com/wiki/Ahxian,Ahxian,Singer,,,,,60 kg
2015–2016,https://kpop.fandom.com//wiki/Clevr_E%26M,Clevr E&M,https://kpop.fandom.com//wiki/Vitamin,Vitamin,Ahn Ji-hyun(안지현),South Korea,,,,,,"October 7, 2015",,,,https://kpop.fandom.com/wiki/Ahn_Jihyun,Ahn Jihyun,"Singer, model",,,,,
2016–present,https://kpop.fandom.com//wiki/Astory_Entertainment,Astory Entertainment,"https://kpop.fandom.com//wiki/FAVORITE_(group),https://kpop.fandom.com//wiki/MIXNINE","FAVORITE,MIXNINE",Go Ah-ra (고아라),"Yeosu, South Korea",O,,,,,"July 6, 2017",166 cm (5 ft 5 in),,,https://kpop.fandom.com/wiki/Ahra_(FAVORITE),Ahra (FAVORITE),Singer,,,https://www.instagram.com/ahra.view/,,48 kg (106 lb)
2010–present,https://kpop.fandom.com//wiki/JYP_Entertainment,JYP Entertainment,,,Ahn Yu-na (안유나),"Mapo-gu, Seoul, South Korea",O,,,,,,,,,https://kpop.fandom.com/wiki/Ahn_Yuna,Ahn Yuna,"Trainee, actress",,,"https://www.instagram.com/you_nd_na/,https://twitter.com/you_nd_na,https://www.youtube.com/channel/UCVVLW4lSXCRxS8lhMSxe8IA",,
2009–2015,https://kpop.fandom.com//wiki/DSP_Media,DSP Media,https://kpop.fandom.com//wiki/KARA_Project,KARA Project,Ahn So-jin (안소진),"Daejeon, South Korea",,,,,,,163 cm (5 ft 4 in),,,https://kpop.fandom.com/wiki/Ahn_So_Jin,Ahn So Jin,Trainee,,,,,45 kg (99 lb)
